rating,time,software_type,author,country_id,language,content,url,Sentiment(From Appbot)
1,2019-08-07,google_play,박경서,147,ko,따릉이 잘쓰고 있어요 젛은 프로그램이라고 생각됩니다 상담원분들도 친절하시고 그러나 어플은 사용할려면 튕기기 자동로그인 풀리기 대여했다 반납했는데 해제 안되어있어 고객센터전화하기 등등... sns으로 연계도 안되고.. 어플관리자를 능지처참하여 부관참시하여 이쪽업계에는 다시는 발을 못들어놓게 해야 함 참고로 별하나는 어플에 관해서입니다,https://appbot.co/apps/2127682/reviews/1280444024,neutral
5,2019-08-06,google_play,Yoon Jeong Shim,147,ko,따릉아 사랑해,https://appbot.co/apps/2127682/reviews/1280444025,positive
1,2019-08-04,google_play,이영광,147,ko,어플 켤때마다 로그인 다시 해야되고 삼성패스 해놔도 이 어플만 자꾸 풀림. 결제도 빠른결제 적용해놔도 다시 풀려서 일일권 살때마다 결제도 오래걸림. 따릉이는 좋은데 어플은 개차반이네요,https://appbot.co/apps/2127682/reviews/1278241596,neutral
4,2019-08-04,google_play,박대정,147,ko,좋아요,https://appbot.co/apps/2127682/reviews/1278241600,positive
1,2019-08-03,google_play,정해욱해욱,147,ko,진짜 왠만하면 안남기는데 결제시스템 개짜증난다 결제는 왜 안돼는거지? 카카오도안돼 전화도안돼 그냥 없애요 ㅡ 결제된다고 올려놓지말고,https://appbot.co/apps/2127682/reviews/1278241603,negative
1,2019-08-03,google_play,정다은,147,ko,앱이 켜지질 않고 계속 꺼져요. 따릉이를 어떻게 타라는 건가요.,https://appbot.co/apps/2127682/reviews/1278241608,negative
1,2019-08-02,google_play,윤지석,147,ko,"쓰레기 귀찮아서 평가 안다는데 일부로 찾아와서 평가를 달게 만드는 그런 쓰레기 같은 앱 경쟁자가 없으니까 나랏돈 먹고 이따구로 만드는건가하는 , 공무원에게 없던 적개심도 생기게 만드는 그런 쓰레기 진 심 왜 공기관 어플은 다 이래 ? 왜? 돈 받기 안창피해 ? 그거 우리 세금이야 알아 ?",https://appbot.co/apps/2127682/reviews/1278241611,negative
1,2019-08-02,google_play,라봉라민씨,147,ko,아니 업데이트도 안돼...지우고 다시 깔려고해도 다운도 안돼...내 돈만 냠냠쩝쩝!!쳐드시는 서울시,https://appbot.co/apps/2127682/reviews/1278241617,negative
1,2019-08-02,google_play,nello mo,147,ko,인증번호가 절대 안오네요. 열받아서 걸어갑니다,https://appbot.co/apps/2127682/reviews/1278241621,negative
1,2019-08-02,google_play,hj p,147,ko,제 인생에 최악의 어플입니다....미친 어디서 만들었는지 모르겠는데 비회원으로 구매해서 사용할려면 로그인하라고하고 정말정말 쓸데없는 어플입니다 이따구로 어플만들어놓으면 초음쓰는사람들은 어떻게 이용을합니까????? 쓰라는건가??? 참나 어이가없어서 돈만 먹튀하는 어플로밖에안보이네요 최악중 최악입니다 아무도 사용하지마세요....,https://appbot.co/apps/2127682/reviews/1278241626,negative
1,2019-08-01,google_play,Marc,134,en,So annoyying to use this app,https://appbot.co/apps/2127682/reviews/1278241196,neutral
3,2019-08-01,google_play,토피넛라떼,147,ko,"다 좋은데,,,이용권 결제방법을 더 늘려주시던지 신용카드 정보 저장 가능하게 해주세요 매번 결제할 때마다 카드번호 치는 거 너무 번거로워요",https://appbot.co/apps/2127682/reviews/1278241632,neutral
1,2019-08-01,google_play,minsu jeong,147,ko,정말 구데기같은 앱이네요. 웹뷰 히스토리백 처리만 적당히 해줬어도 이런 지옥불사용성은 아닐텐데. ^^,https://appbot.co/apps/2127682/reviews/1278241634,neutral
5,2019-07-31,google_play,이지선,147,ko,좋아요.,https://appbot.co/apps/2127682/reviews/1278241643,positive
1,2019-07-31,google_play,정재훈,147,ko,"1. 자전거 이용거리 = 도보로 10분이지만 출근시간 1분이라도 아끼려고 따릉이를 이용. 하지만 따릉이 대여에 걸리는 시간은 복불복. 왜냐하면 나는 비밀번호로 대여하는데, 대여신청해도 계속 카드를 갖다 대라고 뜸. 결과적으로 도보로 10분 거리가 자전거로도 10분이 걸리는 기적. 누가 시스템을 만들었는지는 몰라도 참.... 2. 고장 자전거에 관심이 없는 담당자들. 평소에 생각없이 일하는 인간들 답게 고장 자전거 파악이 제대로 이루어지지 않음. 오늘도 계속 카드를 대라는 따릉이를 8분만에 대여하고 x같은 기분으로 집가는데, 좌판이 쑥 내려감. 깜짝놀라서 빡세게 고정시키고 가는데, 도로 한가운데서 또 쑥 내려가면서 다리가 꼬여 넘어짐. 넘어지면서 아스팔트에 손가락 쓸려서 따가움. 3. 그냥 쓰레기 담당자들 닮아서 그냥 노답. 밑에 리뷰 조금만 내려봐도 지들 맘대로 리뷰 달아놓음. 책임감따위는 개밥그릇에 놓고 오는 관계자들 덕에 하루도 즐겁고 평화로움.",https://appbot.co/apps/2127682/reviews/1278241645,negative
5,2019-07-30,google_play,귀요미효나,147,ko,다좋은데.. 자전거만 늘리지말고 자전거교통법도 강화시켜야합니다.. 자전거도로위로 걸어다니는 인간들 다 벌금때려야합니다..걸리적거려서 다 치워버리고싶네요,https://appbot.co/apps/2127682/reviews/1278241649,neutral
2,2019-07-30,google_play,이문범,147,ko,아니 왜 플래시기능을 없애부렸어?? 야간에 인식도 잘 안되는구만,https://appbot.co/apps/2127682/reviews/1278241651,negative
1,2019-07-30,google_play,강경동,147,ko,사비스 취지는 좋으나 앱이 쓰레기,https://appbot.co/apps/2127682/reviews/1278241654,negative
4,2019-07-30,google_play,관악구 날다람쥐,147,ko,조금햇갈리지만 계속하면 익숙해져요,https://appbot.co/apps/2127682/reviews/1278241656,positive
1,2019-07-29,google_play,전보현,147,ko,위치서비스 끈상태에서 따릉이위치가 물방울표시가 안됩니다... 인터페이스 자체가 개구림,https://appbot.co/apps/2127682/reviews/1278241658,negative
1,2019-07-29,google_play,미경박,147,ko,보다편리하고 스마트한 앱을 기대,https://appbot.co/apps/2127682/reviews/1278241661,mixed
1,2019-07-29,google_play,오수아,147,ko,로딩중만 뜨고 안되서 깔았다가 다시 했는데 또 안됨,https://appbot.co/apps/2127682/reviews/1278241663,negative
1,2019-07-29,google_play,이희서,147,ko,자전거도 안좋고 앱도뭐어케하라는건지 어렵고 관리좀잘해주세요,https://appbot.co/apps/2127682/reviews/1278241664,negative
